dataset,weighting,dim,modality,method,target_recall,target_reached,param_name,selected_param_value,calibrated_param_value,achieved_recall_vs_exact,latency_mean_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,topk,n_calibration_queries,query_source,query_fingerprint,calibration_fingerprint,seed,run_id,config_hash,code_commit,created_at_utc
amazon-books,bm25,128,i2i,hnsw,0.9,True,ef,64,64,0.94084,0.15958000001410255,0.15299999995477265,0.24230999979408796,0.30442000046605244,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,4d609765c1d29660,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,hnsw,0.95,True,ef,128,128,0.97637,0.23586880000220845,0.23049999981594738,0.34459500020602707,0.4546590000063588,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,4d609765c1d29660,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,hnsw,0.98,True,ef,256,256,0.98821,0.4214129999927536,0.40455000089423265,0.6141449986898805,0.7792379984675786,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,4d609765c1d29660,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,ivfflat,0.9,True,nprobe,8,8,0.93439,0.2113622000470059,0.19584999972721562,0.3315650003969493,0.42237900068357687,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,69140e25f0e56f1d,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,ivfflat,0.95,True,nprobe,16,16,0.96932,0.35381260000212933,0.3408999991734163,0.5188150005778879,0.5719960000715217,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,69140e25f0e56f1d,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,ivfflat,0.98,True,nprobe,32,32,0.98616,0.6209434000229521,0.6024000003890251,0.8783299997048741,1.0298979989966026,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,69140e25f0e56f1d,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,ivfpq,0.9,False,nprobe,256,256,0.83777,1.804132999968715,1.5065999996295432,3.790550000212531,4.4575179998173535,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,69140e25f0e56f1d,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,ivfpq,0.95,False,nprobe,256,256,0.83777,2.1883336000610143,1.6091500001493841,4.339535001145123,4.5806419998189085,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,69140e25f0e56f1d,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,i2i,ivfpq,0.98,False,nprobe,256,256,0.83777,2.1086257999668305,1.746449998790922,4.239514999608218,4.562480001586664,100,1000,shared_modality_query_cache,5bcf673ba09a7b9f,69140e25f0e56f1d,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,hnsw,0.9,True,ef,64,64,0.92089,0.2014602000308514,0.1691999996182858,0.3758850015401546,0.6343899996136292,100,1000,shared_modality_query_cache,21133868744f39c1,a37c45fd35cc90d1,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,hnsw,0.95,True,ef,128,128,0.96981,0.4294698000376229,0.3751500007638242,0.7541350006249558,0.8867290014859464,100,1000,shared_modality_query_cache,21133868744f39c1,a37c45fd35cc90d1,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,hnsw,0.98,True,ef,256,256,0.98767,0.7643950000601762,0.6788499986214447,1.341074999254488,1.5157439999165938,100,1000,shared_modality_query_cache,21133868744f39c1,a37c45fd35cc90d1,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,ivfflat,0.9,True,nprobe,32,32,0.94906,0.6077039999800036,0.5873999998584623,0.8915500011426044,1.0020759993676618,100,1000,shared_modality_query_cache,21133868744f39c1,c11020e10e20f5a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,ivfflat,0.95,True,nprobe,64,64,0.97772,1.120090800053731,1.0949000006803544,1.4685050001389752,1.62300400010281,100,1000,shared_modality_query_cache,21133868744f39c1,c11020e10e20f5a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,ivfflat,0.98,True,nprobe,128,128,0.99399,2.1247785999621556,2.097449999382661,2.5319200000012643,2.7748690006592365,100,1000,shared_modality_query_cache,21133868744f39c1,c11020e10e20f5a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,ivfpq,0.9,False,nprobe,256,256,0.70757,1.3078050000076473,1.2873999994553742,1.5365299999757553,1.7757050005093333,100,1000,shared_modality_query_cache,21133868744f39c1,c11020e10e20f5a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,ivfpq,0.95,False,nprobe,256,256,0.70757,1.3115831999202783,1.2802999999621534,1.5144199990572815,2.2704869991684964,100,1000,shared_modality_query_cache,21133868744f39c1,c11020e10e20f5a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
amazon-books,bm25,128,u2i,ivfpq,0.98,False,nprobe,256,256,0.70757,1.420166200001404,1.3639500002682325,1.8306650003978573,2.371381998636933,100,1000,shared_modality_query_cache,21133868744f39c1,c11020e10e20f5a2,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,hnsw,0.9,True,ef,64,64,0.97892,0.06190739999874495,0.04360000002634479,0.1300450005146557,0.16275100014354388,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,0869d2ad6818ad4a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,hnsw,0.95,True,ef,64,64,0.97892,0.04041660001530545,0.03689999994094251,0.061115000471545486,0.08557199983442836,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,0869d2ad6818ad4a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,hnsw,0.98,True,ef,128,128,0.9994,0.06488439999884577,0.061550000282295514,0.08971500001280218,0.1534579993676743,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,0869d2ad6818ad4a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,ivfflat,0.9,True,nprobe,8,8,0.93648,0.026146199998038355,0.02519999998185085,0.03329999981360743,0.04690999969170661,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,e33077765268172c,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,ivfflat,0.95,True,nprobe,16,16,0.97145,0.040534399970056256,0.031199999739328632,0.09077999943656316,0.14186600015818834,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,e33077765268172c,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,ivfflat,0.98,True,nprobe,32,32,0.9898,0.09326120000696392,0.09975000011763768,0.16812000048957987,0.2065799998763395,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,e33077765268172c,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,ivfpq,0.9,True,nprobe,8,8,0.90349,0.09556259998498717,0.06680000024061883,0.19331500029693416,0.2154020003399637,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,e33077765268172c,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,ivfpq,0.95,False,nprobe,128,128,0.93477,0.27230479999525414,0.21104999950694037,0.6541699993704241,0.775163999524011,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,e33077765268172c,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,i2i,ivfpq,0.98,False,nprobe,128,128,0.93477,0.260991400000421,0.1928500000758504,0.614090000317446,0.7303679994583944,100,1000,shared_modality_query_cache,f53d2c9f047ccc82,e33077765268172c,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,hnsw,0.9,True,ef,64,64,0.97346,0.05318600001010054,0.03879999985656468,0.1244400003997725,0.16798099972220362,100,1000,shared_modality_query_cache,20fda5956a2183be,17a578c8cba92a5a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,hnsw,0.95,True,ef,64,64,0.97346,0.052207199987606145,0.047200000153679866,0.0814099995750439,0.15462299956197956,100,1000,shared_modality_query_cache,20fda5956a2183be,17a578c8cba92a5a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,hnsw,0.98,True,ef,128,128,0.99859,0.09342079997077235,0.07580000055895653,0.1944999997249395,0.25811199988311273,100,1000,shared_modality_query_cache,20fda5956a2183be,17a578c8cba92a5a,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,ivfflat,0.9,True,nprobe,32,32,0.96869,0.09275100003105763,0.0683999996908824,0.205229999983203,0.2676010003688134,100,1000,shared_modality_query_cache,20fda5956a2183be,471ea40a22b928c7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,ivfflat,0.95,True,nprobe,32,32,0.96869,0.10880819996418722,0.08914999989428907,0.19985499993708786,0.23600800001076994,100,1000,shared_modality_query_cache,20fda5956a2183be,471ea40a22b928c7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,ivfflat,0.98,True,nprobe,64,64,0.99806,0.13875180001377885,0.11614999993980746,0.26269000059073716,0.48612599991429295,100,1000,shared_modality_query_cache,20fda5956a2183be,471ea40a22b928c7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,ivfpq,0.9,False,nprobe,128,128,0.80504,0.3212173999963852,0.2060500005427457,0.6600449997222313,0.7469770001898722,100,1000,shared_modality_query_cache,20fda5956a2183be,471ea40a22b928c7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
goodbooks,bm25,128,u2i,ivfpq,0.95,False,nprobe,128,128,0.80504,0.24762699999701,0.19884999983332818,0.6251999996948141,0.7404160007172322,100,1000,shared_modality_query_cache,20fda5956a2183be,471ea40a22b928c7,42,20260712T175046Z__12d2e2806429,12d2e2806429,fdcf37d2f4bc1c75ea30916730e4e218c0a9d0d8,2026-07-12T17:50:46.718708+00:00
