dataset,backbone,embedding_backend,modality,method,dim,ndcg_at_10,recall_at_10,ann_recall_vs_exact_at_k_mean,long_tail_uplift,backend_available,status,error_message,query_fingerprint,reused_from_main,seed,run_id,config_hash,code_commit,created_at_utc,ann_ranking_stability
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,flat,128,0.03377227126501955,0.07126284388465363,1.0,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,-0.22941573387056177
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,flatpq,128,0.03380871677773343,0.07126284388465363,0.7945309910507128,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,-0.22941573387056177
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,hnsw,128,0.03377227126501955,0.07126284388465363,0.9998342724560823,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,-0.22941573387056177
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,ivfflat,128,0.03375119455792081,0.07126284388465363,0.9977626781571097,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,-0.22941573387056177
ml-1m,bpr_matrix_factorization,bpr_matrix_factorization,u2i,ivfpq,128,0.03354562779942522,0.07059993370898243,0.8892277096453431,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,-0.22941573387056177
ml-1m,svd_bm25,svd_bm25,u2i,flat,128,0.0487619590968895,0.0951276102088167,1.0,-0.0048391820950486,True,ok,,d5ed8a848af04edf,True,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9999999999999999
ml-1m,svd_bm25,svd_bm25,u2i,flatpq,128,0.0437124589510732,0.0896586012595293,0.6182466025853497,-0.0045242997616047,True,ok,,d5ed8a848af04edf,True,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9999999999999999
ml-1m,svd_bm25,svd_bm25,u2i,hnsw,128,0.0487619590968895,0.0951276102088167,0.9993039443155451,-0.0048391820950486,True,ok,,d5ed8a848af04edf,True,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9999999999999999
ml-1m,svd_bm25,svd_bm25,u2i,ivfflat,128,0.0487619590968895,0.0951276102088167,0.9998176997016904,-0.0048391820950486,True,ok,,d5ed8a848af04edf,True,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9999999999999999
ml-1m,svd_bm25,svd_bm25,u2i,ivfpq,128,0.0478332719189893,0.0952933377527345,0.7436360623135566,-0.0047563183230897,True,ok,,d5ed8a848af04edf,True,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9999999999999999
ml-1m,svd_none,svd_none,u2i,flat,128,0.03653405044377095,0.07540603248259861,1.0,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.22941573387056177
ml-1m,svd_none,svd_none,u2i,flatpq,128,0.03430505832197925,0.06695392774279085,0.5636559496188267,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.22941573387056177
ml-1m,svd_none,svd_none,u2i,hnsw,128,0.03653405044377095,0.07540603248259861,0.999552535631422,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.22941573387056177
ml-1m,svd_none,svd_none,u2i,ivfflat,128,0.03658239203028679,0.0755717600265164,0.9894763009612197,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.22941573387056177
ml-1m,svd_none,svd_none,u2i,ivfpq,128,0.037169085731272686,0.07441166721909181,0.6524693404043752,-0.005502092270719804,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.22941573387056177
ml-1m,svd_tfidf,svd_tfidf,u2i,flat,128,0.042214182423855044,0.08253231687106397,1.0,-0.005485519516328024,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9176629354822471
ml-1m,svd_tfidf,svd_tfidf,u2i,flatpq,128,0.03644032411899051,0.07457739476300962,0.6391614186277759,-0.005468946761936245,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9176629354822471
ml-1m,svd_tfidf,svd_tfidf,u2i,hnsw,128,0.042214182423855044,0.08253231687106397,0.9998176997016903,-0.005485519516328024,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9176629354822471
ml-1m,svd_tfidf,svd_tfidf,u2i,ivfflat,128,0.0422165746812501,0.08253231687106397,0.999171362280411,-0.005485519516328024,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9176629354822471
ml-1m,svd_tfidf,svd_tfidf,u2i,ivfpq,128,0.04164885837504162,0.08203513423931057,0.7479781239642027,-0.005485519516328024,True,ok,,,,42,20260712T190600Z__efb5d60932ca,efb5d60932ca,fcf69d3178fc317bc7ac0f890096ad935f9c56fe,2026-07-12T19:06:00.316396+00:00,0.9176629354822471
