dataset,weighting,dim,modality,method,seed,metric,k,decile,group,value,fairness_scope,notes
amazon-books,bm25,128,i2i,flat,42,coverage,10,-1,__all__,0.16981537140403608,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,coverage,100,-1,__all__,0.6217831306966102,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,0,__all__,0.05779,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,1,__all__,0.13517,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,3,__all__,0.15318,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,4,__all__,0.08571,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,5,__all__,0.05578,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,6,__all__,0.06485,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,7,__all__,0.06411,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,8,__all__,0.06787,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_decile,10,9,__all__,0.31554,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_group,10,-1,head,0.31414,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_group,10,-1,mid,0.49214,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,exposure_share_group,10,-1,tail,0.19372,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,gini_exposure,10,-1,__all__,0.8827567848970874,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,gini_exposure,100,-1,__all__,0.7047357601241365,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,long_tail_exposure,10,-1,__all__,0.28222,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,long_tail_exposure,100,-1,__all__,0.301852,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,long_tail_uplift,10,-1,__all__,0.21410225318538245,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flat,42,user_popularity_calibration_error,10,-1,__all__,1.4722955774528812,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,i2i,flatpq,42,coverage,10,-1,__all__,0.1665162969927877,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,coverage,100,-1,__all__,0.5951378056535374,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,0,__all__,0.05963,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,1,__all__,0.14101,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,3,__all__,0.15601,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,4,__all__,0.08658,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,5,__all__,0.05449,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,6,__all__,0.06516,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,7,__all__,0.06244,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,8,__all__,0.06623,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_decile,10,9,__all__,0.30845,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_group,10,-1,head,0.30698,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_group,10,-1,mid,0.49158999999999997,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,exposure_share_group,10,-1,tail,0.20143,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,gini_exposure,10,-1,__all__,0.8867340351430233,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,gini_exposure,100,-1,__all__,0.7251046894956819,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,long_tail_exposure,10,-1,__all__,0.2929,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,long_tail_exposure,100,-1,__all__,0.314721,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,long_tail_uplift,10,-1,__all__,0.22478225318538242,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,flatpq,42,user_popularity_calibration_error,10,-1,__all__,1.4862672453286956,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,i2i,hnsw,42,coverage,10,-1,__all__,0.16947839839992174,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,coverage,100,-1,__all__,0.611535346837617,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,0,__all__,0.05791,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,1,__all__,0.13536,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,3,__all__,0.15359,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,4,__all__,0.08587,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,5,__all__,0.05608,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,6,__all__,0.06476,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,7,__all__,0.06395,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,8,__all__,0.0674,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_decile,10,9,__all__,0.31508,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_group,10,-1,head,0.31368,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_group,10,-1,mid,0.49229,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,exposure_share_group,10,-1,tail,0.19403,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,gini_exposure,10,-1,__all__,0.8831028554114061,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,gini_exposure,100,-1,__all__,0.7100410298221109,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,long_tail_exposure,10,-1,__all__,0.28266,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,long_tail_exposure,100,-1,__all__,0.303522,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,long_tail_uplift,10,-1,__all__,0.21454225318538245,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,hnsw,42,user_popularity_calibration_error,10,-1,__all__,1.4750097735963061,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,i2i,ivfflat,42,coverage,10,-1,__all__,0.169195775880342,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,coverage,100,-1,__all__,0.608662923729965,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,0,__all__,0.05763,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,1,__all__,0.13491,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,3,__all__,0.15351,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,4,__all__,0.08577,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,5,__all__,0.05594,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,6,__all__,0.06448,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,7,__all__,0.06359,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,8,__all__,0.06709,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_decile,10,9,__all__,0.31708,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_group,10,-1,head,0.31565,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_group,10,-1,mid,0.49103,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,exposure_share_group,10,-1,tail,0.19332,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,gini_exposure,10,-1,__all__,0.8834385716149159,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,gini_exposure,100,-1,__all__,0.711820182161084,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,long_tail_exposure,10,-1,__all__,0.28207,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,long_tail_exposure,100,-1,__all__,0.302113,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,long_tail_uplift,10,-1,__all__,0.2139522531853824,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfflat,42,user_popularity_calibration_error,10,-1,__all__,1.4707929465220102,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,i2i,ivfpq,42,coverage,10,-1,__all__,0.1699702702849596,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,coverage,100,-1,__all__,0.6393736650162236,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,0,__all__,0.05767,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,1,__all__,0.13411,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,3,__all__,0.15292,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,4,__all__,0.08408,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,5,__all__,0.05629,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,6,__all__,0.06572,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,7,__all__,0.06526,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,8,__all__,0.07047,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_decile,10,9,__all__,0.31348,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_group,10,-1,head,0.31209,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_group,10,-1,mid,0.49527,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,exposure_share_group,10,-1,tail,0.19264,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,gini_exposure,10,-1,__all__,0.8827343112978351,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,gini_exposure,100,-1,__all__,0.6942494525275692,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,long_tail_exposure,10,-1,__all__,0.28133,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,long_tail_exposure,100,-1,__all__,0.298786,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,long_tail_uplift,10,-1,__all__,0.21321225318538245,long_tail_exposure_proxy_only,
amazon-books,bm25,128,i2i,ivfpq,42,user_popularity_calibration_error,10,-1,__all__,1.474944061963691,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,u2i,flat,42,coverage,10,-1,__all__,0.149838850813355,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,coverage,100,-1,__all__,0.527683419297683,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,0,__all__,0.04029,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,1,__all__,0.1117,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,3,__all__,0.14966,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,4,__all__,0.09002,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,5,__all__,0.05917,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,6,__all__,0.06999,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,7,__all__,0.06807,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,8,__all__,0.07351,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_decile,10,9,__all__,0.33759,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_group,10,-1,head,0.3363,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_group,10,-1,mid,0.51081,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,exposure_share_group,10,-1,tail,0.15289,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,gini_exposure,10,-1,__all__,0.9043753685778108,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,gini_exposure,100,-1,__all__,0.7790345018180237,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,long_tail_exposure,10,-1,__all__,0.23576,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,long_tail_exposure,100,-1,__all__,0.264686,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,long_tail_uplift,10,-1,__all__,0.16764225318538242,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flat,42,user_popularity_calibration_error,10,-1,__all__,1.3428272971883326,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,u2i,flatpq,42,coverage,10,-1,__all__,0.12406585104706208,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,coverage,100,-1,__all__,0.46014750721502684,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,0,__all__,0.05096,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,1,__all__,0.12862,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,3,__all__,0.15755,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,4,__all__,0.08733,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,5,__all__,0.05426,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,6,__all__,0.06461,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,7,__all__,0.06187,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,8,__all__,0.07088,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_decile,10,9,__all__,0.32392,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_group,10,-1,head,0.32244,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_group,10,-1,mid,0.4973099999999999,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,exposure_share_group,10,-1,tail,0.18025,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,gini_exposure,10,-1,__all__,0.9306335312596812,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,gini_exposure,100,-1,__all__,0.8172869930540081,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,long_tail_exposure,10,-1,__all__,0.27086,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,long_tail_exposure,100,-1,__all__,0.292217,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,long_tail_uplift,10,-1,__all__,0.20274225318538242,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,flatpq,42,user_popularity_calibration_error,10,-1,__all__,1.3760419631976075,popularity_calibration_proxy,mean |log1p(rec pop) - log1p(hist pop)| per user
amazon-books,bm25,128,u2i,hnsw,42,coverage,10,-1,__all__,0.14907250898141758,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,coverage,100,-1,__all__,0.5191830035164764,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,0,__all__,0.04069,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,1,__all__,0.11263,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,2,__all__,0.0,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,3,__all__,0.15053,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,4,__all__,0.09037,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,5,__all__,0.05953,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,6,__all__,0.06971,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,7,__all__,0.06751,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,8,__all__,0.07286,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_decile,10,9,__all__,0.33617,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_group,10,-1,head,0.33488,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_group,10,-1,mid,0.51089,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,exposure_share_group,10,-1,tail,0.15423,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,gini_exposure,10,-1,__all__,0.9051258553407504,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,gini_exposure,100,-1,__all__,0.7832941024452283,long_tail_exposure_proxy_only,
amazon-books,bm25,128,u2i,hnsw,42,long_tail_exposure,10,-1,__all__,0.23776,long_tail_exposure_proxy_only,
