dataset,weighting,dim,modality,method,budget_mb,queries,recall_at_k_mean,ndcg_at_k_mean,hr_at_k_mean,precision_at_k_mean,map_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,recall_at_100_mean,ann_recall_vs_exact_at_100_mean,coverage_at_k,gini_exposure,long_tail_exposure,long_tail_uplift,calibration_target,calibrated_param_name,calibrated_param_value,latency_p50_ms,latency_p95_ms,rss_mb_after,omp_threads,seed,run_id,config_hash,code_commit,created_at_utc
goodbooks,bm25,128,i2i,flat,100,10000,0.1553,0.10737880213995148,0.1553,0.01553,0.0923384523809524,0.0923384523809524,1.0,0.2867,1.0,0.9124,0.570770958,0.09636,0.06125220847944068,,,,0.14430000010179356,0.19419999994170212,58.82421875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,flatpq,100,10000,0.1534,0.10295403957010289,0.1534,0.015340000000000001,0.0871373015873016,0.0871373015873016,0.8706400000000002,0.2832,0.922524,0.9093,0.570735044,0.10287,0.06776220847944067,,,,0.08449999950244091,0.09920500042426283,54.4765625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,hnsw,100,10000,0.1553,0.10736570916459431,0.1553,0.01553,0.09232178571428572,0.09232178571428572,0.9998799999999999,0.286,0.978734,0.9124,0.570772596,0.09633,0.061222208479440675,0.95,ef,64.0,0.03220000053261174,0.06120999946688243,60.91796875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,ivfflat,100,10000,0.155,0.10723647577473583,0.155,0.015500000000000003,0.09224571428571429,0.09224571428571429,0.9882700000000001,0.2816,0.938866,0.9116,0.5706034440000001,0.09711,0.06200220847944068,0.95,nprobe,8.0,0.021099999685247894,0.025605000291761822,59.03515625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,i2i,ivfpq,100,10000,0.1533,0.10415445184082935,0.1533,0.015330000000000002,0.08877603174603176,0.08877603174603176,0.9041600000000002,0.2838,0.9339299999999999,0.9134,0.568900608,0.10111,0.06600220847944069,0.95,nprobe,128.0,0.1922999999806052,0.32540499942115275,58.1015625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,flat,100,10000,0.0295,0.014164336824847162,0.0295,0.00295,0.00958281746031746,0.00958281746031746,1.0,0.1816,1.0,0.6758,0.830726524,0.05765,0.022542208479440676,,,,0.14430000010179356,0.19419999994170212,58.82421875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,flatpq,100,10000,0.0255,0.01259830058562827,0.0255,0.00255,0.00873269841269841,0.00873269841269841,0.60575,0.164,0.7476299999999999,0.6009,0.8700238020000001,0.08154,0.04643220847944068,,,,0.08449999950244091,0.09920500042426283,54.4765625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,hnsw,100,10000,0.0294,0.014098603844443235,0.0294,0.0029400000000000003,0.00953031746031746,0.00953031746031746,0.9975799999999999,0.1767,0.9428040000000001,0.6752,0.8311247460000001,0.05748,0.02237220847944068,0.95,ef,64.0,0.03220000053261174,0.06120999946688243,60.91796875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,ivfflat,100,10000,0.0296,0.014114888376507985,0.0296,0.00296,0.009498373015873016,0.009498373015873016,0.8487600000000001,0.1598,0.7590140000000001,0.6888,0.8229038339999999,0.06172,0.026612208479440673,0.95,nprobe,8.0,0.021099999685247894,0.025605000291761822,59.03515625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
goodbooks,bm25,128,u2i,ivfpq,100,10000,0.0264,0.012748490851081836,0.0264,0.0026400000000000004,0.008675079365079365,0.008675079365079365,0.6784899999999999,0.1635,0.788949,0.6327,0.849267088,0.08874,0.053632208479440675,0.95,nprobe,128.0,0.1922999999806052,0.32540499942115275,58.1015625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,flat,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,1.0,0.4012263838249917,1.0,0.7967732804981602,0.6778737545455458,0.016639045409347034,0.01113695313862723,,,,0.05824999971082434,0.09131500037256045,52.4453125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,flatpq,100,6034,0.10954590652966523,0.05715648578034368,0.10954590652966523,0.010954590652966521,0.04139209821592984,0.04139209821592984,0.8460722572091482,0.39177991382167715,0.8682913490222076,0.8058307387489386,0.678148084526395,0.020235333112363276,0.014733240841643472,,,,0.0473000000056345,0.07862500006012849,51.2578125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,hnsw,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,1.0,0.40039774610540274,0.9895807093138881,0.7967732804981602,0.6778737545455458,0.016639045409347034,0.01113695313862723,0.95,ef,64.0,0.03840000044874614,0.0764349997098179,53.43359375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,ivfflat,100,6034,0.11219754723235002,0.05815769614277606,0.11219754723235002,0.011219754723235002,0.041943405359050036,0.041943405359050036,0.9990719257540602,0.3997348359297315,0.9908750414318861,0.7967732804981602,0.6780161216827636,0.016655618163738815,0.01115352589301901,0.95,nprobe,32.0,0.0334999995175167,0.041105000082097824,52.52734375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,i2i,ivfpq,100,6034,0.11037454424925422,0.057225436990356135,0.11037454424925422,0.011037454424925423,0.04121032403680729,0.04121032403680729,0.882615180643023,0.39410009943652635,0.8983244945309911,0.8086611944523068,0.671458198803816,0.01904209479615512,0.013540002525435316,0.95,nprobe,64.0,0.10860000020329608,0.18202000064775345,53.19921875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,u2i,flat,100,6034,0.0951276102088167,0.04876195909688952,0.0951276102088167,0.009512761020881671,0.03477674132297931,0.03477674132297931,1.0,0.39774610540271793,1.0,0.4073025757146901,0.9463882418911009,0.0006629101756711965,-0.004839182095048608,,,,0.05824999971082434,0.09131500037256045,52.4453125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,u2i,flatpq,100,6034,0.08965860125952933,0.043712458951073244,0.08965860125952933,0.008965860125952933,0.030000434048329312,0.030000434048329312,0.6182466025853497,0.37736161750082864,0.7614186277759365,0.3673931502971978,0.9605561315391665,0.000977792509115015,-0.0045242997616047895,,,,0.0473000000056345,0.07862500006012849,51.2578125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,u2i,hnsw,100,6034,0.0951276102088167,0.04876195909688952,0.0951276102088167,0.009512761020881671,0.03477674132297931,0.03477674132297931,0.9993039443155451,0.39575737487570434,0.9630659595624793,0.4073025757146901,0.9463918350781556,0.0006629101756711965,-0.004839182095048608,0.95,ef,64.0,0.03840000044874614,0.0764349997098179,53.43359375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,u2i,ivfflat,100,6034,0.0951276102088167,0.04876195909688952,0.0951276102088167,0.009512761020881671,0.03477674132297931,0.03477674132297931,0.9998176997016903,0.39393437189260855,0.9886277759363606,0.4067364845740164,0.9464480126345087,0.0006629101756711965,-0.004839182095048608,0.95,nprobe,32.0,0.0334999995175167,0.041105000082097824,52.52734375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-1m,bm25,128,u2i,ivfpq,100,6034,0.0952933377527345,0.047833271918989374,0.0952933377527345,0.00952933377527345,0.033558183520894826,0.033558183520894826,0.7436360623135566,0.4008949287371561,0.8156629101756712,0.41522785168412113,0.9430938804084149,0.0007457739476300962,-0.0047563183230897085,0.95,nprobe,64.0,0.10860000020329608,0.18202000064775345,53.19921875,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,i2i,flat,100,10000,0.0885,0.04927211711904937,0.0885,0.00885,0.037293571428571426,0.037293571428571426,1.0,0.2798,1.0,0.3467488201363398,0.8873155488550953,0.00284,0.002244585488061143,,,,0.3394000000298547,0.8421400003499001,71.51953125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,i2i,flatpq,100,10000,0.089,0.048885908628089746,0.089,0.008900000000000002,0.03671757936507936,0.03671757936507936,0.8338200000000001,0.2818,0.859734,0.34653032686593255,0.8887005261317952,0.00329,0.002694585488061143,,,,0.17079999997804407,0.24507000016456,61.06640625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,i2i,hnsw,100,10000,0.0885,0.04927211711904937,0.0885,0.00885,0.037293571428571426,0.037293571428571426,0.99969,0.2791,0.985562,0.346574025520014,0.8873846495367942,0.00302,0.0024245854880611427,0.95,ef,64.0,0.04619999981514411,0.07990499993866251,76.16015625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,i2i,ivfflat,100,10000,0.088,0.04892943729640228,0.088,0.0088,0.037000396825396825,0.037000396825396825,0.9893200000000001,0.2781,0.9484,0.3462244362873623,0.8878879391714735,0.00297,0.002374585488061143,0.95,nprobe,16.0,0.05379999993238016,0.08801499980108927,71.58984375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,i2i,ivfpq,100,10000,0.0896,0.04954758929073104,0.0896,0.008960000000000001,0.037338611111111114,0.037338611111111114,0.8766900000000002,0.2854,0.8824110000000001,0.3473169026393987,0.8881920075161686,0.00348,0.002884585488061143,0.95,nprobe,256.0,0.3287999998065061,0.44854999996459805,66.61328125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,u2i,flat,100,10000,0.0832,0.040377696810110435,0.0832,0.008320000000000001,0.027537420634920637,0.027537420634920637,1.0,0.3645,1.0,0.20302394686243663,0.9662887458486279,0.0,-0.0005954145119388572,,,,0.3394000000298547,0.8421400003499001,71.51953125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,u2i,flatpq,100,10000,0.0821,0.04049691856159353,0.0821,0.00821,0.02803464285714286,0.02803464285714286,0.5698699999999999,0.3416,0.69345,0.16762803705645865,0.9785631130921167,0.00015,-0.0004454145119388573,,,,0.17079999997804407,0.24507000016456,61.06640625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,u2i,hnsw,100,10000,0.0832,0.040377696810110435,0.0832,0.008320000000000001,0.027537420634920637,0.027537420634920637,0.9979299999999999,0.3639,0.9532889999999999,0.203155042824681,0.9662436960321622,0.0,-0.0005954145119388572,0.95,ef,64.0,0.04619999981514411,0.07990499993866251,76.16015625,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,u2i,ivfflat,100,10000,0.0832,0.040328706904742016,0.0832,0.008320000000000001,0.0274809126984127,0.0274809126984127,0.9525299999999999,0.3567,0.86195,0.20485929033385772,0.9667499187205034,1e-05,-0.0005854145119388572,0.95,nprobe,16.0,0.05379999993238016,0.08801499980108927,71.58984375,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
ml-20m,bm25,128,u2i,ivfpq,100,10000,0.0837,0.04130273798024505,0.0837,0.00837,0.028565476190476186,0.028565476190476186,0.62793,0.3544,0.717235,0.17763502884111168,0.9745487808075511,8e-05,-0.0005154145119388573,0.95,nprobe,256.0,0.3287999998065061,0.44854999996459805,66.61328125,1,42,20260711T163706Z__12d2e2806429,12d2e2806429,067154a33f58811146b5d0780072d872d512e079,2026-07-11T16:37:07.335303+00:00
