dataset,weighting,dim,modality,method,ndcg_at_k_mean,recall_at_k_mean,hr_at_k_mean,mrr_at_k_mean,ann_recall_vs_exact_at_k_mean,latency_p50_ms,latency_p95_ms
amazon-books,bm25,128,i2i,flat,0.0228184226009754,0.0354,0.0354,0.0189324999999999,1.0,12.65254999998433,15.11649499957457
amazon-books,bm25,128,i2i,flatpq,0.0211309884221431,0.0327,0.0327,0.0175299206349206,0.65415,1.928050000060466,3.71254499987117
amazon-books,bm25,128,i2i,hnsw,0.0228687978912692,0.0355,0.0355,0.0189688888888888,0.98904,0.2207500001532025,0.3292800000963324
amazon-books,bm25,128,i2i,ivfflat,0.0225463318026815,0.0347,0.0347,0.0187888888888888,0.97943,0.3454499992585624,0.5612049997580469
amazon-books,bm25,128,i2i,ivfpq,0.0220771727239022,0.0345,0.0345,0.0182537301587301,0.76231,1.3379499996517552,2.4704100008420937
amazon-books,bm25,128,u2i,flat,0.0204125077376797,0.0329,0.0329,0.0165813492063492,1.0,12.693950000084442,14.610680000487264
amazon-books,bm25,128,u2i,flatpq,0.0155653125796178,0.0274,0.0274,0.0120150396825396,0.39533,2.1316500005923444,4.341404999831866
amazon-books,bm25,128,u2i,hnsw,0.0201445523432921,0.0321,0.0321,0.0164746031746031,0.9866,0.2524999999877764,0.3546250007275375
amazon-books,bm25,128,u2i,ivfflat,0.0202216288138686,0.0326,0.0326,0.0164226984126984,0.98532,1.1400500006857328,1.5786049985763384
amazon-books,bm25,128,u2i,ivfpq,0.01855769191258,0.031,0.031,0.0147580555555555,0.57507,1.485800000409654,2.0345449999695115
goodbooks,bm25,128,i2i,flat,0.1073788021399514,0.1553,0.1553,0.0923384523809524,1.0,0.143700000080571,0.2018250005676235
goodbooks,bm25,128,i2i,flatpq,0.1029540395701028,0.1534,0.1534,0.0871373015873016,0.8706400000000002,0.0783499999670311,0.133225000126913
goodbooks,bm25,128,i2i,hnsw,0.1073657091645943,0.1553,0.1553,0.0923217857142857,0.99988,0.0319999999192077,0.0496100002237653
goodbooks,bm25,128,i2i,ivfflat,0.1072346632166384,0.1551,0.1551,0.0922098809523809,0.99669,0.0301000000035855,0.0438000006397487
goodbooks,bm25,128,i2i,ivfpq,0.1041544518408293,0.1533,0.1533,0.0887760317460317,0.9041600000000002,0.1898000000437605,0.2636549998896952
goodbooks,bm25,128,u2i,flat,0.0141643368248471,0.0295,0.0295,0.0095828174603174,1.0,0.1418000001649488,0.2155000001948792
goodbooks,bm25,128,u2i,flatpq,0.0125983005856282,0.0255,0.0255,0.0087326984126984,0.60575,0.0737000000299303,0.105309999662495
goodbooks,bm25,128,u2i,hnsw,0.0140986038444432,0.0294,0.0294,0.0095303174603174,0.99758,0.0363999997716746,0.0672350005515909
goodbooks,bm25,128,u2i,ivfflat,0.0141675294590354,0.0295,0.0295,0.0095886507936507,0.98736,0.0550000004295725,0.0697999994827114
goodbooks,bm25,128,u2i,ivfpq,0.0127484908510818,0.0264,0.0264,0.0086750793650793,0.6784899999999999,0.1880999998320476,0.3112199995030096
ml-1m,bm25,128,i2i,flat,0.058157696142776,0.11219754723235,0.11219754723235,0.04194340535905,1.0,0.0573000006625079,0.0949800004491407
ml-1m,bm25,128,i2i,flatpq,0.0571564857803436,0.1095459065296652,0.1095459065296652,0.0413920982159298,0.8460722572091482,0.0488000005134381,0.0654050004868622
ml-1m,bm25,128,i2i,hnsw,0.058157696142776,0.11219754723235,0.11219754723235,0.04194340535905,1.0,0.0357999997504521,0.0486049999381066
ml-1m,bm25,128,i2i,ivfflat,0.0578082614209449,0.1115346370566788,0.1115346370566788,0.0416810034145135,0.9920285051375538,0.0218000004679197,0.0551100002667226
ml-1m,bm25,128,i2i,ivfpq,0.0572254369903561,0.1103745442492542,0.1103745442492542,0.0412103240368072,0.882615180643023,0.107600000774255,0.1442200002202298
ml-1m,bm25,128,u2i,flat,0.0487619590968895,0.0951276102088167,0.0951276102088167,0.0347767413229793,1.0,0.0575000003664172,0.0815100002910185
ml-1m,bm25,128,u2i,flatpq,0.0437124589510732,0.0896586012595293,0.0896586012595293,0.0300004340483293,0.6182466025853497,0.0475999995614984,0.0669999999445281
ml-1m,bm25,128,u2i,hnsw,0.0487619590968895,0.0951276102088167,0.0951276102088167,0.0347767413229793,0.9993039443155451,0.0376500001948443,0.0520099993991607
ml-1m,bm25,128,u2i,ivfflat,0.0487619590968895,0.0951276102088167,0.0951276102088167,0.0347767413229793,0.9998176997016904,0.0318999991577584,0.0437049998708971
ml-1m,bm25,128,u2i,ivfpq,0.0478332719189893,0.0952933377527345,0.0952933377527345,0.0335581835208948,0.7436360623135566,0.1079000003301189,0.1508600004854087
ml-20m,bm25,128,i2i,flat,0.0492721171190493,0.0885,0.0885,0.0372935714285714,1.0,0.3151500000058149,0.5266299998311297
ml-20m,bm25,128,i2i,flatpq,0.0488859086280897,0.089,0.089,0.0367175793650793,0.8338200000000001,0.1560000000608852,0.2163099999506812
ml-20m,bm25,128,i2i,hnsw,0.0492721171190493,0.0885,0.0885,0.0372935714285714,0.99969,0.0436999998782994,0.0705050002125062
ml-20m,bm25,128,i2i,ivfflat,0.0489294372964022,0.088,0.088,0.0370003968253968,0.98932,0.0382500002160668,0.0857000004543806
ml-20m,bm25,128,i2i,ivfpq,0.049547589290731,0.0896,0.0896,0.0373386111111111,0.8766900000000002,0.2739999999903375,0.3673400000934634
ml-20m,bm25,128,u2i,flat,0.0403776968101104,0.0832,0.0832,0.0275374206349206,1.0,0.3325999996377504,0.505419999399237
ml-20m,bm25,128,u2i,flatpq,0.0404969185615935,0.0821,0.0821,0.0280346428571428,0.5698699999999999,0.148799999806215,0.1881200007119332
ml-20m,bm25,128,u2i,hnsw,0.0403776968101104,0.0832,0.0832,0.0275374206349206,0.99793,0.0435000001743901,0.0859050001508876
ml-20m,bm25,128,u2i,ivfflat,0.0403164556518018,0.0829,0.0829,0.027546865079365,0.99116,0.0608999998803483,0.1348999995116173
ml-20m,bm25,128,u2i,ivfpq,0.041302737980245,0.0837,0.0837,0.0285654761904761,0.62793,0.2892499996960396,0.44811500065407
