n_items,dim,method,build_wall_time_sec,index_size_mb,rss_mb_after,latency_p50_ms,latency_p95_ms,achieved_recall_vs_exact,quality_measured
10000,64,flat,0.323,2.48,118.1,0.0823500004116795,0.1349850004771725,1.0,False
10000,64,hnsw,0.406,4.46,124.0,0.0321000006806571,0.0507200003994512,0.98234,False
10000,64,ivfflat,0.332,2.58,123.8,0.0136500002554385,0.0212049995752749,0.98134,False
10000,64,ivfpq,2.282,0.51,126.2,0.0262000012298813,0.0299150002319947,0.96108,False
10000,64,flatpq,1.067,0.41,124.3,0.088000000687316,0.0934100000449689,0.91546,False
10000,128,flat,0.304,4.92,130.6,0.1485000011598458,0.1886749992081604,1.0,False
10000,128,hnsw,0.395,6.9,135.1,0.0334500009557814,0.0654349995784287,0.98356,False
10000,128,ivfflat,0.345,5.05,133.5,0.0155999996422906,0.06478000068455,0.97622,False
10000,128,ivfpq,2.357,0.59,135.9,0.0317000003633438,0.0381050009309547,0.89102,False
10000,128,flatpq,1.098,0.47,133.8,0.0900500008356175,0.102709999828221,0.79494,False
10000,256,flat,0.308,9.8,148.7,0.2708000001803157,0.46483999958582,1.0,False
10000,256,hnsw,0.424,11.79,150.4,0.047850000555627,0.0660999994579469,0.985,False
10000,256,ivfflat,0.384,9.98,151.6,0.0228999997489154,0.0357100007931876,0.9923,False
10000,256,ivfpq,2.447,0.77,146.9,0.029750000066997,0.0356050000846153,0.83216,False
10000,256,flatpq,1.125,0.59,147.1,0.0923999996302882,0.1059400005033239,0.71942,False
50000,64,flat,0.314,12.4,159.5,0.3449499999987893,0.6532800004606544,1.0,False
50000,64,hnsw,0.695,22.33,173.0,0.0666500000079395,0.0881199996001669,0.95042,False
50000,64,ivfflat,0.372,12.84,162.6,0.0394499993490171,0.069625000560336,0.9879,False
50000,64,ivfpq,3.192,2.22,163.3,0.0692499997967388,0.0828599992928502,0.91368,False
50000,64,flatpq,1.13,1.78,157.4,0.3096000000368804,0.3484249990833632,0.7678,False
50000,128,flat,0.339,24.6,200.3,1.4498000000457978,1.8052650015306424,1.0,False
50000,128,hnsw,0.888,34.54,214.4,0.1303999997617211,0.177709999752551,0.9923,False
50000,128,ivfflat,0.424,25.1,203.7,0.052950000281271,0.095254999177996,0.99294,False
50000,128,ivfpq,3.053,2.33,190.8,0.0760000002628658,0.0892400006705429,0.7368,False
50000,128,flatpq,1.194,1.84,183.9,0.3170500003761844,0.3503250007270253,0.44388,False
50000,256,flat,0.384,49.02,276.3,2.690650000658934,3.3446650008045262,1.0,False
50000,256,hnsw,1.243,58.95,290.3,0.2140500009772949,0.2773499989416451,0.99044,False
50000,256,ivfflat,0.466,49.62,280.4,0.07499999992433,0.1360000015665719,0.99722,False
50000,256,ivfpq,3.269,2.57,242.8,0.0539000002390821,0.0663249991703196,0.52916,False
50000,256,flatpq,1.258,1.97,236.4,0.3154000005451962,0.3599850009777583,0.26082,False
100000,64,flat,0.342,24.8,205.6,1.4967500001148435,1.953285000308825,1.0,False
100000,64,hnsw,1.692,44.66,230.3,0.1790499991329852,0.2712649997192785,0.9839,False
100000,64,ivfflat,0.412,25.64,210.1,0.0525000004927278,0.077824999425502,0.97818,False
100000,64,ivfpq,4.143,4.34,202.2,0.0890999999683117,0.109614999655605,0.90124,False
100000,64,flatpq,1.251,3.5,193.0,0.5911499983994872,0.6669849994977994,0.72266,False
100000,128,flat,0.392,49.21,282.5,2.740550000453368,3.3143350004138483,1.0,False
100000,128,hnsw,2.261,69.07,307.6,0.213850000363891,0.3481849996205711,0.97876,False
100000,128,ivfflat,0.516,50.13,287.0,0.0808000004326459,0.1239549994352273,0.99398,False
100000,128,ivfpq,4.142,4.48,253.4,0.1254999988304916,0.1519049997114052,0.69388,False
100000,128,flatpq,1.333,3.56,245.1,0.594900000578491,0.6667799991191714,0.34834,False
100000,256,flat,0.491,98.04,431.8,5.241500000011001,6.098654998913844,1.0,False
100000,256,hnsw,3.538,117.9,457.0,0.3241499998694053,0.4085049993591383,0.96834,False
100000,256,ivfflat,0.59,99.11,436.8,0.1304500001424458,0.2149749995624006,0.99018,False
100000,256,ivfpq,4.371,4.76,354.2,0.0953999997364007,0.1202650003506278,0.44744,False
100000,256,flatpq,1.366,3.68,344.8,0.6288999993557809,0.6893600007970235,0.18068,False
500000,64,flat,0.536,123.98,512.5,6.517650001114816,7.534464999207557,1.0,False
500000,64,hnsw,19.501,223.25,607.5,0.4885500002274057,0.9350500005893992,0.97976,False
500000,64,ivfflat,0.927,127.97,514.0,0.1691500001470558,0.2032449993748741,0.99718,False
500000,64,ivfpq,10.011,21.22,438.1,0.2881500004150439,0.3967699995882868,0.8766,False
500000,64,flatpq,2.012,17.23,408.1,2.7704000003723195,4.570030000195402,0.63836,False
500000,128,flat,0.771,246.05,881.2,13.288500001181092,14.52895500115119,1.0,False
500000,128,hnsw,29.144,345.32,984.5,0.6127500000729924,0.8300750001581039,0.96294,False
500000,128,ivfflat,1.312,250.21,883.1,0.2837000001818524,0.3306400008113997,0.96978,False
500000,128,ivfpq,9.99,21.46,684.7,0.2794000001813401,0.3649200009022024,0.61522,False
500000,128,flatpq,2.311,17.29,654.6,2.827300000717514,3.9353650013254087,0.21536,False
500000,256,flat,1.208,490.19,1616.7,26.627100000041537,29.027709999900253,1.0,False
500000,256,hnsw,50.415,589.46,1720.0,1.4074999999138529,1.8441050006003936,0.9845,False
500000,256,ivfflat,2.132,494.7,1619.1,0.5409999994299142,0.6228500002180226,0.98788,False
500000,256,ivfpq,12.763,21.93,1178.0,0.1960999998118495,0.2537150010539335,0.32026,False
500000,256,flatpq,2.438,17.42,1145.8,2.863749999960419,4.219865000413848,0.07782,False
1000000,64,flat,0.738,247.96,886.6,13.543999999455991,15.072204999978569,1.0,False
1000000,64,hnsw,53.47,446.48,1096.4,0.579400000788155,0.791015000322659,0.95824,False
1000000,64,ivfflat,1.879,255.84,891.7,0.2243000008093076,0.408780000088882,0.9912,False
1000000,64,ivfpq,13.741,42.28,719.8,0.4062499992869561,0.5639000008159202,0.8695,False
1000000,64,flatpq,3.026,34.39,675.2,6.067399999665213,8.508410000740698,0.6021,False
1000000,128,flat,1.211,492.1,1621.6,26.96554999965884,29.093835000458057,1.0,False
1000000,128,hnsw,83.981,690.62,1832.8,1.2579000003825058,1.6656949997923225,0.97392,False
1000000,128,ivfflat,2.8,500.22,1627.4,0.5218999995122431,0.6015249984557158,0.95836,False
1000000,128,ivfpq,17.844,42.58,1209.0,0.3858999989461154,0.4968399994140782,0.58892,False
1000000,128,flatpq,3.567,34.46,1164.6,6.26879999981611,8.9325550007743,0.17676,False
1000000,256,flat,2.127,980.38,3088.4,53.61039999934292,57.592515000305866,1.0,False
1000000,256,hnsw,142.503,1178.9,3299.9,3.076199998758966,3.648444999907952,0.97864,False
1000000,256,ivfflat,4.602,988.99,3097.9,1.0146999993594363,1.1583100005736926,0.97772,False
1000000,256,ivfpq,19.105,43.2,2231.2,0.421249999817519,0.5515949987056956,0.28248,False
1000000,256,flatpq,3.863,34.58,2200.1,6.089550000069721,8.040470000287314,0.05488,False
