n_items,dim,method,build_wall_time_sec,index_size_mb,rss_mb_after,rss_mb_delta,calibration_target,target_reached,param_name,calibrated_param_value,achieved_recall_vs_exact,latency_p50_ms,latency_p95_ms,quality_measured,seed
10000,64,flat,0.323,2.48,118.1,28.7,0.95,True,,,1.0,0.0823500004116795,0.1349850004771725,False,42
10000,64,hnsw,0.406,4.46,124.0,5.6,0.95,True,ef,32.0,0.98234,0.032100000680657104,0.050720000399451244,False,42
10000,64,ivfflat,0.332,2.58,123.8,-0.2,0.95,True,nprobe,2.0,0.98134,0.0136500002554385,0.021204999575274996,False,42
10000,64,ivfpq,2.282,0.51,126.2,2.4,0.95,True,nprobe,4.0,0.96108,0.02620000122988131,0.029915000231994785,False,42
10000,64,flatpq,1.067,0.41,124.3,-1.9,0.95,False,,,0.91546,0.08800000068731606,0.09341000004496891,False,42
10000,128,flat,0.304,4.92,130.6,1.4,0.95,True,,,1.0,0.14850000115984585,0.18867499920816047,False,42
10000,128,hnsw,0.395,6.9,135.1,4.5,0.95,True,ef,32.0,0.98356,0.033450000955781434,0.0654349995784287,False,42
10000,128,ivfflat,0.345,5.05,133.5,-1.6,0.95,True,nprobe,2.0,0.97622,0.01559999964229064,0.06478000068455007,False,42
10000,128,ivfpq,2.357,0.59,135.9,2.4,0.95,False,nprobe,4.0,0.89102,0.03170000036334386,0.0381050009309547,False,42
10000,128,flatpq,1.098,0.47,133.8,-2.1,0.95,False,,,0.79494,0.09005000083561754,0.10270999982822104,False,42
10000,256,flat,0.308,9.8,148.7,5.1,0.95,True,,,1.0,0.2708000001803157,0.46483999958582006,False,42
10000,256,hnsw,0.424,11.79,150.4,1.7,0.95,True,ef,32.0,0.985,0.04785000055562705,0.06609999945794698,False,42
10000,256,ivfflat,0.384,9.98,151.6,1.2,0.95,True,nprobe,2.0,0.9923,0.022899999748915434,0.035710000793187646,False,42
10000,256,ivfpq,2.447,0.77,146.9,-4.7,0.95,False,nprobe,4.0,0.83216,0.029750000066997018,0.03560500008461531,False,42
10000,256,flatpq,1.125,0.59,147.1,0.2,0.95,False,,,0.71942,0.09239999963028822,0.10594000050332399,False,42
50000,64,flat,0.314,12.4,159.5,7.5,0.95,True,,,1.0,0.3449499999987893,0.6532800004606544,False,42
50000,64,hnsw,0.695,22.33,173.0,13.5,0.95,True,ef,32.0,0.95042,0.06665000000793952,0.08811999960016692,False,42
50000,64,ivfflat,0.372,12.84,162.6,-10.4,0.95,True,nprobe,4.0,0.9879,0.03944999934901716,0.06962500056033605,False,42
50000,64,ivfpq,3.192,2.22,163.3,0.7,0.95,False,nprobe,16.0,0.91368,0.06924999979673885,0.08285999929285028,False,42
50000,64,flatpq,1.13,1.78,157.4,-6.0,0.95,False,,,0.7678,0.3096000000368804,0.3484249990833632,False,42
50000,128,flat,0.339,24.6,200.3,18.5,0.95,True,,,1.0,1.4498000000457978,1.8052650015306426,False,42
50000,128,hnsw,0.888,34.54,214.4,14.0,0.95,True,ef,64.0,0.9923,0.13039999976172112,0.17770999975255108,False,42
50000,128,ivfflat,0.424,25.1,203.7,-10.7,0.95,True,nprobe,4.0,0.99294,0.05295000028127106,0.09525499917799608,False,42
50000,128,ivfpq,3.053,2.33,190.8,-12.9,0.95,False,nprobe,16.0,0.7368,0.0760000002628658,0.08924000067054295,False,42
50000,128,flatpq,1.194,1.84,183.9,-7.0,0.95,False,,,0.44388,0.31705000037618447,0.3503250007270253,False,42
50000,256,flat,0.384,49.02,276.3,43.4,0.95,True,,,1.0,2.690650000658934,3.3446650008045262,False,42
50000,256,hnsw,1.243,58.95,290.3,13.9,0.95,True,ef,64.0,0.99044,0.21405000097729499,0.2773499989416451,False,42
50000,256,ivfflat,0.466,49.62,280.4,-9.9,0.95,True,nprobe,4.0,0.99722,0.07499999992433004,0.1360000015665719,False,42
50000,256,ivfpq,3.269,2.57,242.8,-37.7,0.95,False,nprobe,8.0,0.52916,0.053900000239082146,0.06632499917031964,False,42
50000,256,flatpq,1.258,1.97,236.4,-6.3,0.95,False,,,0.26082,0.31540000054519624,0.3599850009777583,False,42
100000,64,flat,0.342,24.8,205.6,18.0,0.95,True,,,1.0,1.4967500001148437,1.9532850003088247,False,42
100000,64,hnsw,1.692,44.66,230.3,24.6,0.95,True,ef,64.0,0.9839,0.17904999913298525,0.2712649997192785,False,42
100000,64,ivfflat,0.412,25.64,210.1,-20.2,0.95,True,nprobe,4.0,0.97818,0.05250000049272785,0.07782499942550203,False,42
100000,64,ivfpq,4.143,4.34,202.2,-8.0,0.95,False,nprobe,16.0,0.90124,0.08909999996831175,0.10961499965560506,False,42
100000,64,flatpq,1.251,3.5,193.0,-9.2,0.95,False,,,0.72266,0.5911499983994872,0.6669849994977994,False,42
100000,128,flat,0.392,49.21,282.5,40.6,0.95,True,,,1.0,2.740550000453368,3.3143350004138483,False,42
100000,128,hnsw,2.261,69.07,307.6,25.1,0.95,True,ef,64.0,0.97876,0.213850000363891,0.3481849996205711,False,42
100000,128,ivfflat,0.516,50.13,287.0,-20.6,0.95,True,nprobe,4.0,0.99398,0.0808000004326459,0.12395499943522738,False,42
100000,128,ivfpq,4.142,4.48,253.4,-33.6,0.95,False,nprobe,16.0,0.69388,0.12549999883049168,0.15190499971140525,False,42
100000,128,flatpq,1.333,3.56,245.1,-8.4,0.95,False,,,0.34834,0.594900000578491,0.6667799991191714,False,42
100000,256,flat,0.491,98.04,431.8,88.1,0.95,True,,,1.0,5.241500000011001,6.098654998913844,False,42
100000,256,hnsw,3.538,117.9,457.0,25.1,0.95,True,ef,64.0,0.96834,0.3241499998694053,0.4085049993591383,False,42
100000,256,ivfflat,0.59,99.11,436.8,-20.2,0.95,True,nprobe,4.0,0.99018,0.1304500001424458,0.21497499956240068,False,42
100000,256,ivfpq,4.371,4.76,354.2,-82.7,0.95,False,nprobe,16.0,0.44744,0.09539999973640079,0.12026500035062783,False,42
100000,256,flatpq,1.366,3.68,344.8,-9.4,0.95,False,,,0.18068,0.6288999993557809,0.6893600007970235,False,42
500000,64,flat,0.536,123.98,512.5,118.7,0.95,True,,,1.0,6.517650001114816,7.534464999207557,False,42
500000,64,hnsw,19.501,223.25,607.5,95.0,0.95,True,ef,128.0,0.97976,0.4885500002274057,0.9350500005893992,False,42
500000,64,ivfflat,0.927,127.97,514.0,-93.6,0.95,True,nprobe,8.0,0.99718,0.16915000014705583,0.20324499937487417,False,42
500000,64,ivfpq,10.011,21.22,438.1,-75.9,0.95,False,nprobe,32.0,0.8766,0.2881500004150439,0.3967699995882868,False,42
500000,64,flatpq,2.012,17.23,408.1,-30.1,0.95,False,,,0.63836,2.7704000003723195,4.570030000195402,False,42
500000,128,flat,0.771,246.05,881.2,228.9,0.95,True,,,1.0,13.288500001181092,14.52895500115119,False,42
500000,128,hnsw,29.144,345.32,984.5,103.3,0.95,True,ef,128.0,0.96294,0.6127500000729924,0.8300750001581039,False,42
500000,128,ivfflat,1.312,250.21,883.1,-101.4,0.95,True,nprobe,4.0,0.96978,0.2837000001818524,0.3306400008113997,False,42
500000,128,ivfpq,9.99,21.46,684.7,-198.4,0.95,False,nprobe,32.0,0.61522,0.27940000018134015,0.36492000090220245,False,42
500000,128,flatpq,2.311,17.29,654.6,-30.1,0.95,False,,,0.21536,2.827300000717514,3.9353650013254087,False,42
500000,256,flat,1.208,490.19,1616.7,473.6,0.95,True,,,1.0,26.627100000041537,29.027709999900253,False,42
500000,256,hnsw,50.415,589.46,1720.0,103.4,0.95,True,ef,256.0,0.9845,1.4074999999138527,1.8441050006003938,False,42
500000,256,ivfflat,2.132,494.7,1619.1,-101.1,0.95,True,nprobe,4.0,0.98788,0.5409999994299142,0.6228500002180226,False,42
500000,256,ivfpq,12.763,21.93,1178.0,-441.1,0.95,False,nprobe,16.0,0.32026,0.19609999981184956,0.2537150010539335,False,42
500000,256,flatpq,2.438,17.42,1145.8,-32.2,0.95,False,,,0.07782,2.863749999960419,4.219865000413848,False,42
1000000,64,flat,0.738,247.96,886.6,229.0,0.95,True,,,1.0,13.543999999455991,15.072204999978567,False,42
1000000,64,hnsw,53.47,446.48,1096.4,209.6,0.95,True,ef,128.0,0.95824,0.579400000788155,0.791015000322659,False,42
1000000,64,ivfflat,1.879,255.84,891.7,-204.8,0.95,True,nprobe,8.0,0.9912,0.22430000080930768,0.408780000088882,False,42
1000000,64,ivfpq,13.741,42.28,719.8,-172.0,0.95,False,nprobe,32.0,0.8695,0.40624999928695615,0.5639000008159202,False,42
1000000,64,flatpq,3.026,34.39,675.2,-44.6,0.95,False,,,0.6021,6.067399999665213,8.508410000740698,False,42
1000000,128,flat,1.211,492.1,1621.6,457.9,0.95,True,,,1.0,26.965549999658833,29.093835000458057,False,42
1000000,128,hnsw,83.981,690.62,1832.8,211.2,0.95,True,ef,256.0,0.97392,1.2579000003825058,1.6656949997923225,False,42
1000000,128,ivfflat,2.8,500.22,1627.4,-205.5,0.95,True,nprobe,4.0,0.95836,0.5218999995122431,0.6015249984557158,False,42
1000000,128,ivfpq,17.844,42.58,1209.0,-418.3,0.95,False,nprobe,32.0,0.58892,0.3858999989461154,0.4968399994140782,False,42
1000000,128,flatpq,3.567,34.46,1164.6,-44.5,0.95,False,,,0.17676,6.26879999981611,8.9325550007743,False,42
1000000,256,flat,2.127,980.38,3088.4,946.9,0.95,True,,,1.0,53.61039999934292,57.592515000305866,False,42
1000000,256,hnsw,142.503,1178.9,3299.9,211.4,0.95,True,ef,512.0,0.97864,3.076199998758966,3.6484449999079516,False,42
1000000,256,ivfflat,4.602,988.99,3097.9,-202.1,0.95,True,nprobe,4.0,0.97772,1.0146999993594363,1.1583100005736926,False,42
1000000,256,ivfpq,19.105,43.2,2231.2,-866.7,0.95,False,nprobe,32.0,0.28248,0.421249999817519,0.5515949987056956,False,42
1000000,256,flatpq,3.863,34.58,2200.1,-31.1,0.95,False,,,0.05488,6.089550000069721,8.040470000287314,False,42
